job,model,dataset,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_cos_sim,median_cos_sim,std_cos_sim,q25_cos_sim,q75_cos_sim,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,1,non_sdc,5906,75,5906,0,0.0,0.8482347056761641,0.8810186684131622,0.07820273190835075,0.7969266772270203,0.9095154367387295,0.831546551748692,0.86413903974484,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,1,non_significant_sdc,1327,73,1327,0,0.0,0.8470560107506481,0.8816388845443726,0.08476163695226396,0.7706098705530167,0.9190922752022743,0.823690453803806,0.8694649152012118,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,1,significant_sdc,264,67,216,48,0.18181818181818177,0.550344857973633,0.4806901775300503,0.17029181283043268,0.4609988182783127,0.6967226788401604,0.48821398097948865,0.6006135904255734,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,2,non_sdc,5906,75,5906,0,0.0,0.8395824114304153,0.8627404123544693,0.07251627778314494,0.7910079658031464,0.8945974446833134,0.8244269397022541,0.854029085896633,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,2,non_significant_sdc,1327,73,1327,0,0.0,0.8371844696247362,0.8610380291938782,0.07847214950352252,0.7893273234367371,0.8955810591578484,0.8166336991040681,0.8564613717417714,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,2,significant_sdc,264,66,214,50,0.18939393939393945,0.3908874228429136,0.2519378950819373,0.2530210231297752,0.22455728380009532,0.7130059897899628,0.29724451811550134,0.46792022007517803,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,3,non_sdc,5906,75,5906,0,0.0,0.8128060100715553,0.8438694179058075,0.10377131695400725,0.7310988754034042,0.9004212021827698,0.790528177275942,0.8343032474279228,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,3,non_significant_sdc,1327,73,1327,0,0.0,0.8103896304235121,0.8739378303289413,0.1175014602599007,0.7232030630111694,0.9017802253365517,0.7763498084111795,0.8408580600752694,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,3,significant_sdc,264,67,212,52,0.19696969696969702,0.5035381008923616,0.4559680409729481,0.17963997680942168,0.439783051609993,0.5496882945299149,0.4390122214055463,0.5586060296632207,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,4,non_sdc,5906,75,5906,0,0.0,0.8273903310399526,0.8322428315877914,0.06280183288920337,0.7883857786655426,0.8836759477853775,0.8142781822613869,0.8398663233860539,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,4,non_significant_sdc,1327,73,1327,0,0.0,0.8223740536812202,0.8291116803884506,0.06651496749589383,0.7893372252583504,0.8729322105646133,0.8053858855229961,0.8384903286938253,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,4,significant_sdc,264,67,209,55,0.20833333333333337,0.6331729812650054,0.6313822567462921,0.14514825904930678,0.6026034876704216,0.6665869951248169,0.58944515698781,0.6704067025793297,adequate
