job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_value,median_value,std_value,q25_value,q75_value,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,0,1,non_sdc,5906,75,5906,0,0.0,0.801100978314858,0.7987159490585327,0.05001913305477622,0.7727109829584757,0.8352055366222675,0.7912603948381157,0.8110673318997583,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,0,1,non_significant_sdc,1327,73,1327,0,0.0,0.792326154177614,0.7929926199071547,0.044251906611642924,0.7660352802938886,0.8221754237772927,0.7819365092768605,0.8028553224473123,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,0,1,significant_sdc,264,67,216,48,0.18181818181818177,0.3870808811425167,0.23250260249692567,0.24937365202001271,0.21768263347294867,0.712636003891627,0.29241698679493827,0.461473758261048,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,1,2,non_sdc,5906,75,5906,0,0.0,0.77634948282799,0.7786993563368723,0.05659653752658541,0.741156317293644,0.8198250817755858,0.7643855342938083,0.7877161859848975,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,1,2,non_significant_sdc,1327,73,1327,0,0.0,0.7658037563911675,0.7702824017580818,0.05191263959590185,0.7366574650959057,0.7959754700388979,0.7543756366409489,0.7769570393179648,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,1,2,significant_sdc,264,66,214,50,0.18939393939393945,0.21637842151112915,0.014286515055870523,0.32739646879927625,-0.0027212250635636095,0.675434177617232,0.0948472058007071,0.3161891929366334,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,2,3,non_sdc,5906,75,5906,0,0.0,0.7066010981272322,0.7097654975950718,0.08033208692670438,0.6564435541045432,0.7581965501109759,0.6903972670541526,0.7225515184941917,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,2,3,non_significant_sdc,1327,73,1327,0,0.0,0.690077575786068,0.7080825989445051,0.06933897319889595,0.6484528883643772,0.7343006352583568,0.6728164338130033,0.7058608454817905,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,2,3,significant_sdc,264,67,212,52,0.19696969696969702,0.3785678994416327,0.2855018068637167,0.19847071722714127,0.27156364613649797,0.5647263730565707,0.3003738615239223,0.4414787626163505,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,3,4,non_sdc,5906,75,5906,0,0.0,0.7825500711343083,0.7881577253341675,0.05119917786509527,0.7453758948379092,0.8176141427829862,0.7721602343156683,0.7927250277482079,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,3,4,non_significant_sdc,1327,73,1327,0,0.0,0.7700801063832976,0.7723567022217644,0.04868452853212302,0.7356027135482202,0.8047277977069218,0.7587488240651529,0.7818245923575518,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,3,4,significant_sdc,264,67,209,55,0.20833333333333337,0.47066002235355525,0.3872377367652192,0.17708842364573554,0.3702860699624431,0.6519675413767497,0.4053473667290005,0.5239092562644951,adequate
